,ARTIST,BORN-DIED,URL,BioText
0,"AACHEN, Hans von","(b. 1552, Köln, d. 1615, Praha)",https://www.wga.hu/bio/a/aachen/biograph.html,"German painter. His renowned cosmopolitan Mannerist style originated humbly: he first trained with a minor painter in his native Cologne, and he took his name from his father's hometown. He probably joined the Cologne painters' guild before leaving for Italy around 1574.

"
1,"AAGAARD, Carl Frederik","(b. 1833, Odense, d. 1895, København)",https://www.wga.hu/bio/a/aagaard/biograph.html,"
Danish painter. He left his small town for Denmark's capital to study drawing at the Danish Royal Academy; Copenhagen was the centre of a spectacular resurgence of the arts. The art of the first half of the 19th century in Copenhagen was perhaps the greatest achievement of Denmark's Golden Age. The sculptor Bertel 
Thorvaldsen and the painter Eckersberg led an artistic renaissance during the Golden Age that produced, with the establishment of an academy in Charlottenborg in 1754, the artists Christen 
Købke, Jens Juel, Constantin Hansen, Martinus Rørbye, Johan Lundbye, Wilhelm Bendz, and Emanuel Larsen to name a few. The Royal Collections, what was later to become the National Collection after the peaceful transition to a constitutional monarchy, actively supported these new artists, buying these 'modern' pictures the moment they were exhibited."
2,"ABADIA, Juan de la",(active 1470-1490 in Huesca),https://www.wga.hu/bio/a/abadia/biograph.html,"
Spanish painter, formerly known as the Master of Almudévar after a panel representing St Dominic in Almudévar (Huesca). His other known paintings include a St. Catalina (1490), in the church of la Magdalena de Huesca (now lost) and a Saviour, now at the Museum of Zaragoza. He painted works for the cathedral in Jaca between 1473 and 1490."
3,"ABAQUESNE, Masséot","(b. ca 1500, Cherbourg, d. 1564, Sotteville-lès-Rouen)",https://www.wga.hu/bio/a/abaquesn/biograph.html,"
French ceramist, who was the first grand-master of the glazed pottery at Sotteville-lès-Rouen (20 years before Bernard Palissy). He took part in the development of the ceramic factory of Rouen. He was the author - among others - of the ceramic triptych representing the Flood (1550, Écouen, Musée de la Renaissance).



"
4,"ABBATE, Niccolo dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",https://www.wga.hu/bio/a/abbate/biograph.html,"
Painter of the Bolognese school who, along with others, introduced the post-Renaissance Italian style of painting known as Mannerism to France and helped to inspire the French classical school of landscape painting."
5,"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",https://www.wga.hu/bio/a/abbati/biograph.html,"
Italian painter, who belonged to the group known as the Macchiaioli. Abbati was born in Naples and received early training in painting from his brother Vincenzo. He participated in Garibaldi's 1860 campaign, suffering the loss of his right eye at the Battle of Capua. Afterwards he moved to Florence where, at the Caffe Michelangiolo, he met Giovanni Fattori, Silvestro Lega, and the rest of the artists who would soon be dubbed the Macchiaioli."
6,"ABBATINI, Guido Ubaldo","(b. ca. 1602, Città di Castello, d. 1656, Roma)",https://www.wga.hu/bio/a/abbatini/biograph.html,"
Italian painter and mosaicist. He trained in the Roman studio of Cavaliere d'Arpino. He is principally known for executing fresco decorations in several chapels in Rome to designs by Bernini. Independent commissions, such as the frescoes depicting the Life of Charlemagne (1635-37; Rome, Vatican, Sala di Carlo Magno), reveal, however, that despite his collaboration with Bernini and later with Cortona, his preference was for a restrained classical style, close to that of more conservative contemporaries such as Andrea Camassei and Giovanni Francesco Romanelli."
7,"ABEELE, Pieter van","(b. 1608, Middelburg, d. 1684, Amsterdam)",https://www.wga.hu/bio/a/abeele/biograph.html,"
Dutch medallist, one of the best engravers of the Dutch school of the seventeenth century. It is thought that he was also a painter. He lived principally in Amsterdam where he was a pupil of Juriaen Pool (died 1669). His works date from 1622-1677."
8,"ABILDGAARD, Nicolai","(b. 1743, København, d. 1809, Frederiksdal)",https://www.wga.hu/bio/a/abildgaa/biograph.html,"
Danish painter. He first studied at the Copenhagen Academy before moving to Rome in 1772. In the company of Swedish sculptor Johan Tobias Sergel and painter John Henry Fuseli he began to move away from the classicism he learned at the Academy. He developed an appreciation for the literature of Shakespeare, Homer and Ossian, legendary Gaelic poet. He worked with themes from Greek, as well as Norse mythology which placed him at the forefront of Nordic romanticism."
9,"ABONDIO, Antonio","(b. 1538, Riva del Garda, d. 1591, Wien)",https://www.wga.hu/bio/a/abondio/biograph.html,"
Italian medallist, part of a family of medallists and wax modellers, active in Central Europe. Antonio Abondio worked first in Italy and later for the imperial courts in Vienna and Prague. He worked in an eclectic style drawn from Italian and northern sources. His oeuvre consists principally of some 60 medals, though he also produced some wax portraits (13 of which survive) and a few plaquettes of religious and mythological themes. His son and pupil, Alessandro Abondio (c. 1580-1648), continued his father's work at the imperial court, developing the genre of portraiture in wax. He also made figure subjects. Alessandro's output was highly regarded by collectors."
10,"ACERO Y AREBO, Vicente","(b. ca. 1677, Cabárceno, d. 1739, Sevilla)",https://www.wga.hu/bio/a/acero/biograph.html,"
Spanish architect who contributed significantly to the design and construction of the cathedrals of Granada, Guadix, Cádiz, and Málaga."
11,"ACHENBACH, Oswald","(b. 1827, Düsseldorf, d. 1905, Düsseldorf)",https://www.wga.hu/bio/a/achenbac/biograph.html,"
German painter. He studied at the Kunstakademie in Düsseldorf, as did his elder brother, the painter Andreas Achenbach (1815-1910), who was the main influence on him other than his teacher, Johann Wilhelm Schirmer (1807-1863). At a very early stage he began to prepare studies for landscapes in the area around Düsseldorf, sketching boulders, rocks, bushes, trees and people. From 1843 he went on many study tours, visiting Bavaria in 1843 and northern Italy and Switzerland in 1845. The Bavarian and Italian Alps stimulated him to create a unified approach to landscape painting."
